,sex,season,lead,winner,runner-up,engagement,still_together
0,M,1,Alex Michel,Amanda Marsh,Trista Rehn,False,False
1,M,2,Aaron Buerge,Helene Eksterowicz,Brooke Smith,True,False
2,M,3,Andrew Firestone,Jen Schefft,Kirsten Buschbacher,True,False
3,M,4,Bob Guiney,Estella Gardinier,Kelly Jo Kuharski,False,False
4,M,5,Jesse Palmer,Jessica Bowlin,Tara Huckeby,False,False
5,M,6,Byron Velvick,Mary Delgado,Tanya Michel,True,False
6,M,7,Charlie O'Connell,Sarah Brice,Krisily Kennedy,False,False
7,M,8,Travis Lane Stork,Sarah Stone,Moana Dixon,False,False
8,M,9,Lorenzo Borghese,Jennifer Wilson,Sadie Murray,False,False
9,M,10,Andrew Baldwin,Tessa Horst,Bevin Nicole Powers,True,False
10,M,11,Brad Womack,N/A,"Jenni Croft,DeAnna Pappas",False,False
11,M,12,Matt Grant,Shayne Lamas,Chelsea Wanstrath,True,False
12,M,13,Jason Mesnick,Melissa Rycroft,Molly Malaney,True,False
13,M,14,Jake Pavelka,Vienna Girardi,Tenley Molzahn,True,False
14,M,15,Brad Womack,Emily Maynard,Chantal O'Brien,True,False
15,M,16,Ben Flajnik,Courtney Robertson,Lindzi Cox,True,False
16,M,17,Sean Lowe,Catherine Giudici,Lindsay Yenter,True,True
17,M,18,Juan Pablo Galavis,Nikki Ferrell,Clare Crawley,False,False
18,M,19,Chris Soules,Whitney Bischoff,Becca Tilley,True,False
19,M,20,Ben Higgins,Lauren Bushnell,"Joelle ""JoJo"" Fletcher",True,False
20,M,21,Nick Viall,Vanessa Grimaldi,Raven Gates,True,False
21,M,22,Arie Luyendyk Jr.,Becca Kufrin,Lauren Burnham,True,False
22,M,23,Colton Underwood,Cassie Randolph,"Hannah Godwin,Tayshia Adams",False,False
23,M,24,Peter Weber,Hannah Ann Sluss,Madison Prewett,True,False
